文書番号,品名,分類番号（大分類）,分類番号（中分類）,分類番号（小分類）,分類番号（商標）,運送経路,所要時間,運送会社,輸送距離,成分1,成分1_含有量,成分2,成分2_含有量,成分3,成分3_含有量,成分4,成分4_含有量,成分5,成分5_含有量,成分6,成分6_含有量,成分7,成分7_含有量,成分8,成分8_含有量,成分9,成分9_含有量,成分10,成分10_含有量,材料1,材料1_含有量,材料2,材料2_含有量,材料3,材料3_含有量,材料4,材料4_含有量,材料5,材料5_含有量,材料6,材料6_含有量,材料7,材料7_含有量,材料8,材料8_含有量,材料9,材料9_含有量,材料10,材料10_含有量,元価格,改定後の価格,改定時期,改定理由,［成分1］市況単価,［成分2］市況単価,［成分3］市況単価,［成分4］市況単価,［成分1］市況情報,［成分2］市況情報,［成分3］市況情報,［成分4］市況情報,燃動力1,［燃動力1］市況情報,［燃動力1］単価,燃動力2,［燃動力2］市況情報,［燃動力2］単価,燃動力3,［燃動力3］市況情報,［燃動力3］単価,燃動力4,［燃動力4］市況情報,［燃動力4］単価,労務費（時間当り）,［労務費］市況情報,［運賃］円/m
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,728,788,2022/02/01,,575.0,230.0,230.0,92.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,698,738,2021/08/17,,525.0,210.0,210.0,84.0,,,,,LNG,,178.5,電力,,136.5,,,,,,,945,,0.3937
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,698,2020/01/07,,500.0,200.0,200.0,80.0,,,,,LNG,,170.0,電力,,130.0,,,,,,,900,,0.3750
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,856,890,2024/09/30,,625.0,250.0,250.0,100.0,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,803,862,2022/07/29,,575.0,230.0,230.0,92.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,778,803,2022/04/01,,575.0,230.0,230.0,92.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,728,778,2022/02/01,,575.0,230.0,230.0,92.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,698,728,2021/08/17,,525.0,210.0,210.0,84.0,,,,,LNG,,178.5,電力,,136.5,,,,,,,945,,0.3937
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,698,2020/01/07,,500.0,200.0,200.0,80.0,,,,,LNG,,170.0,電力,,130.0,,,,,,,900,,0.3750
0401010170,アデカスタブ AC-288,04,01,01,0170,三重工場→越谷倉庫→貴社工場,3営業日（在庫あり）,城田運送/王子運送,,亜リン酸エステル,45-55%,炭酸バリウム,10-20%,有機化合物,10-20%,鉱油,5-15%,バリウム化合物,1-10%,アルコールC14-18,1-10%,ビスフェノールA,1-5%,フェノール,0.1-0.9%,,,,,,,,,,,,,,,,,,,,,,,,,862,856,2023/02/01,,600.0,240.0,240.0,96.0,,,,,LNG,,204.0,電力,,156.0,,,,,,,1080,,0.4500
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.5,214.9,2025/06/01,原材料（クロロン）下落,143.0,,,,,,,,LNG,,221.0,電力,,169.0,,,,,,,1170,,0.4875
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.3,228.5,2023/05/01,,132.0,,,,,,,,LNG,,204.0,電力,,156.0,,,,,,,1080,,0.4500
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.3,254.3,2022/09/01,,126.5,,,,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.8,144.3,2020/09/01,,110.0,,,,,,,,LNG,,170.0,電力,,130.0,,,,,,,900,,0.3750
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.8,154.8,2018/05/01,,104.5,,,,,,,,LNG,,161.5,電力,,123.5,,,,,,,855,,0.3563
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.8,165.8,2015/10/01,,96.8,,,,,,,,LNG,,149.6,電力,,114.4,,,,,,,792,,0.3300
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.8,171.8,2014/11/01,,94.6,,,,,,,,LNG,,146.2,電力,,111.8,,,,,,,774,,0.3225
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.2,170.8,2014/04/01,,94.6,,,,,,,,LNG,,146.2,電力,,111.8,,,,,,,774,,0.3225
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.7,170.2,2014/03/01,,94.6,,,,,,,,LNG,,146.2,電力,,111.8,,,,,,,774,,0.3225
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.2,152.7,2011/08/01,,88.0,,,,,,,,LNG,,136.0,電力,,104.0,,,,,,,720,,0.3000
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5,166.2,2011/07/01,,88.0,,,,,,,,LNG,,136.0,電力,,104.0,,,,,,,720,,0.3000
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.9,163.5,2011/06/01,,88.0,,,,,,,,LNG,,136.0,電力,,104.0,,,,,,,720,,0.3000
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6,141.9,2011/04/01,,88.0,,,,,,,,LNG,,136.0,電力,,104.0,,,,,,,720,,0.3000
110300020,オクサゾールS,11,03,00,0020,京浜地区タンク→貴社受入タンク,中3~4日,主に輸送株式会社,,脂肪族炭化水素(C8-C16),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6,2009/04/01,,83.6,,,,,,,,LNG,,129.2,電力,,98.8,,,,,,,684,,0.2850
508,カネライトフォーム スーパーE-IIIb,88,59,006,,鹿島工場/大阪工場→翌日着,翌日～翌々日着,丸全昭和運輸/合通他,,ポリスチレン,90-95%,イソブタン,2-4%,ジメチルエーテル,<1%,難燃剤,非開示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394,1484,2022/12/01,,207.0,103.5,115.0,230.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
508,カネライトフォーム スーパーE-IIIb,88,59,006,,鹿島工場/大阪工場→翌日着,翌日～翌々日着,丸全昭和運輸/合通他,,ポリスチレン,90-95%,イソブタン,2-4%,ジメチルエーテル,<1%,難燃剤,非開示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294,1394,2022/05/01,,207.0,103.5,115.0,230.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
508,カネライトフォーム スーパーE-IIIb,88,59,006,,鹿島工場/大阪工場→翌日着,翌日～翌々日着,丸全昭和運輸/合通他,,ポリスチレン,90-95%,イソブタン,2-4%,ジメチルエーテル,<1%,難燃剤,非開示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244,1294,2021/09/01,,189.0,94.5,105.0,210.0,,,,,LNG,,178.5,電力,,136.5,,,,,,,945,,0.3937
508,カネライトフォーム スーパーE-IIIb,88,59,006,,鹿島工場/大阪工場→翌日着,翌日～翌々日着,丸全昭和運輸/合通他,,ポリスチレン,90-95%,イソブタン,2-4%,ジメチルエーテル,<1%,難燃剤,非開示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244,2016/01/01,,162.0,81.0,90.0,180.0,,,,,LNG,,153.0,電力,,117.0,,,,,,,810,,0.3375
1203030100,セラフォーム TR150,12,03,03,0030,大西物流関東支店→ロンシール工業,1時間30分,大西物流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81,43.78,2023/04/01,,,,,,,,,,LNG,,204.0,電力,,156.0,,,,,,,1080,,0.4500
1203030100,セラフォーム TR150,12,03,03,0030,大西物流関東支店→ロンシール工業,1時間30分,大西物流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.84,39.81,2023/02/01,,,,,,,,,,LNG,,204.0,電力,,156.0,,,,,,,1080,,0.4500
1203030100,セラフォーム TR150,12,03,03,0030,大西物流関東支店→ロンシール工業,1時間30分,大西物流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.84,35.84,2023/01/01,,,,,,,,,,LNG,,204.0,電力,,156.0,,,,,,,1080,,0.4500
1203030100,セラフォーム TR150,12,03,03,0030,大西物流関東支店→ロンシール工業,1時間30分,大西物流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.26,35.84,2022/05/01,,,,,,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
1203030100,セラフォーム TR150,12,03,03,0030,大西物流関東支店→ロンシール工業,1時間30分,大西物流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.81,31.26,2020/12/04,,,,,,,,,,LNG,,170.0,電力,,130.0,,,,,,,900,,0.3750
1203030100,セラフォーム TR150,12,03,03,0030,大西物流関東支店→ロンシール工業,1時間30分,大西物流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,33.81,2016/12/13,,,,,,,,,,LNG,,153.0,電力,,117.0,,,,,,,810,,0.3375
1203030100,セラフォーム TR150,12,03,03,0030,大西物流関東支店→ロンシール工業,1時間30分,大西物流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,2015/06/01,,,,,,,,,,LNG,,149.6,電力,,114.4,,,,,,,792,,0.3300
09020000090,ハイドリック VS EX(CP),09,02,00,0090,坂東製造事業所→土浦工場,2日（在庫あり）,運送会社,,二酸化珪素,1-5%,アクリル/塩ビ系樹脂,20-30%,水,60-70%,イソプロピルアルコール,1-5%,2-アミノ-2-メチル-1-プロパノール,<=1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,2024/10/01,,75.0,225.0,250.0,250.0,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
09020000090,ハイドリック VS EX(CP),09,02,00,0090,坂東製造事業所→土浦工場,2日（在庫あり）,運送会社,,二酸化珪素,1-5%,アクリル/塩ビ系樹脂,20-30%,水,60-70%,イソプロピルアルコール,1-5%,2-アミノ-2-メチル-1-プロパノール,<=1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,469,2022/12/01,,69.0,207.0,230.0,230.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
09020000090,ハイドリック VS EX(CP),09,02,00,0090,坂東製造事業所→土浦工場,2日（在庫あり）,運送会社,,二酸化珪素,1-5%,アクリル/塩ビ系樹脂,20-30%,水,60-70%,イソプロピルアルコール,1-5%,2-アミノ-2-メチル-1-プロパノール,<=1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,439,2022/09/01,,69.0,207.0,230.0,230.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
09020000090,ハイドリック VS EX(CP),09,02,00,0090,坂東製造事業所→土浦工場,2日（在庫あり）,運送会社,,二酸化珪素,1-5%,アクリル/塩ビ系樹脂,20-30%,水,60-70%,イソプロピルアルコール,1-5%,2-アミノ-2-メチル-1-プロパノール,<=1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,409,2022/06/01,,69.0,207.0,230.0,230.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
09020000090,ハイドリック VS EX(CP),09,02,00,0090,坂東製造事業所→土浦工場,2日（在庫あり）,運送会社,,二酸化珪素,1-5%,アクリル/塩ビ系樹脂,20-30%,水,60-70%,イソプロピルアルコール,1-5%,2-アミノ-2-メチル-1-プロパノール,<=1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,384,2017/02/20,,55.2,165.6,184.0,184.0,,,,,LNG,,156.4,電力,,119.6,,,,,,,828,,0.3450
09020000090,ハイドリック VS EX(CP),09,02,00,0090,坂東製造事業所→土浦工場,2日（在庫あり）,運送会社,,二酸化珪素,1-5%,アクリル/塩ビ系樹脂,20-30%,水,60-70%,イソプロピルアルコール,1-5%,2-アミノ-2-メチル-1-プロパノール,<=1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,2008/11/01,,45.0,135.0,150.0,150.0,,,,,LNG,,127.5,電力,,97.5,,,,,,,675,,0.2812
09020000090,ハイドリック VS EX(CP),09,02,00,0090,坂東製造事業所→土浦工場,2日（在庫あり）,運送会社,,二酸化珪素,1-5%,アクリル/塩ビ系樹脂,20-30%,水,60-70%,イソプロピルアルコール,1-5%,2-アミノ-2-メチル-1-プロパノール,<=1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,2024/10/01,,75.0,225.0,250.0,250.0,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
09020000090,ハイドリック VS EX(CP),09,02,00,0090,坂東製造事業所→土浦工場,2日（在庫あり）,運送会社,,二酸化珪素,1-5%,アクリル/塩ビ系樹脂,20-30%,水,60-70%,イソプロピルアルコール,1-5%,2-アミノ-2-メチル-1-プロパノール,<=1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,2024/10/01,,75.0,225.0,250.0,250.0,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
562,プラグビス TUL8x80,88,63,00507,0,東ソー物流→土浦,4時間,ABC商会HD他,,ポリアミド6（ナイロン6）,プラグ,SUS(JIS G 4315),ビス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,3600,2022/10/21,SUS材料高騰・為替（円安/ユーロ高）,402.5,230.0,,,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
562,プラグビス TUL8x80,88,63,00507,0,東ソー物流→土浦,4時間,ABC商会HD他,,ポリアミド6（ナイロン6）,プラグ,SUS(JIS G 4315),ビス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1900,2021/08/21,,367.5,210.0,,,,,,,LNG,,178.5,電力,,136.5,,,,,,,945,,0.3937
562,プラグビス TUL8x80,88,63,00507,0,東ソー物流→土浦,4時間,ABC商会HD他,,ポリアミド6（ナイロン6）,プラグ,SUS(JIS G 4315),ビス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,2016/01/01,,315.0,180.0,,,,,,,LNG,,153.0,電力,,117.0,,,,,,,810,,0.3375
353,プルーフセメントNR,,,,,コニシ栃木工場→アルファプロ直送→土浦,3時間程度,アルファプロ,,ニトリルゴム,10-20%,塩化ビニル酢酸ビニル共重合樹脂,1-10%,メチルエチルケトン,50-60%,シクロヘキサン,10-20%,アセトン,1-5%,合成樹脂A,1-5%,充てん剤,<1%,老化防止剤,<1%,,,,,,,,,,,,,,,,,,,,,,,,,7470,7920,2024/10/01,原油・ナフサ上昇・エネルギーコスト・物流費,437.5,250.0,150.0,125.0,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
353,プルーフセメントNR,,,,,コニシ栃木工場→アルファプロ直送→土浦,3時間程度,アルファプロ,,ニトリルゴム,10-20%,塩化ビニル酢酸ビニル共重合樹脂,1-10%,メチルエチルケトン,50-60%,シクロヘキサン,10-20%,アセトン,1-5%,合成樹脂A,1-5%,充てん剤,<1%,老化防止剤,<1%,,,,,,,,,,,,,,,,,,,,,,,,,7020,7470,2022/12/01,,402.5,230.0,138.0,115.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
353,プルーフセメントNR,,,,,コニシ栃木工場→アルファプロ直送→土浦,3時間程度,アルファプロ,,ニトリルゴム,10-20%,塩化ビニル酢酸ビニル共重合樹脂,1-10%,メチルエチルケトン,50-60%,シクロヘキサン,10-20%,アセトン,1-5%,合成樹脂A,1-5%,充てん剤,<1%,老化防止剤,<1%,,,,,,,,,,,,,,,,,,,,,,,,,6570,7020,2022/07/01,,402.5,230.0,138.0,115.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
353,プルーフセメントNR,,,,,コニシ栃木工場→アルファプロ直送→土浦,3時間程度,アルファプロ,,ニトリルゴム,10-20%,塩化ビニル酢酸ビニル共重合樹脂,1-10%,メチルエチルケトン,50-60%,シクロヘキサン,10-20%,アセトン,1-5%,合成樹脂A,1-5%,充てん剤,<1%,老化防止剤,<1%,,,,,,,,,,,,,,,,,,,,,,,,,6195,6570,2022/01/01,,402.5,230.0,138.0,115.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
353,プルーフセメントNR,,,,,コニシ栃木工場→アルファプロ直送→土浦,3時間程度,アルファプロ,,ニトリルゴム,10-20%,塩化ビニル酢酸ビニル共重合樹脂,1-10%,メチルエチルケトン,50-60%,シクロヘキサン,10-20%,アセトン,1-5%,合成樹脂A,1-5%,充てん剤,<1%,老化防止剤,<1%,,,,,,,,,,,,,,,,,,,,,,,,,,6195,2020/06/10,,350.0,200.0,120.0,100.0,,,,,LNG,,170.0,電力,,130.0,,,,,,,900,,0.3750
0103043080,リューロンペースト K-75Z,01,03,04,308,東ソー南陽事業所→船橋倉庫→土浦事業所,2~3日,東ソー物流,,ポリ塩化ビニル樹脂,>=99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,LNG,,170.0,電力,,130.0,,,,,,,900,,0.3750
0103043220,ZEST PQ140,01,03,04,3220,愛媛工場→千葉SP→貴社,2日（在庫あり）,船/JR貨物/トラック,,ポリ塩化ビニル,>98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,LNG,,170.0,電力,,130.0,,,,,,,900,,0.3750
