文書番号,品名,分類番号（大分類）,分類番号（中分類）,分類番号（小分類）,分類番号（商標）,運送経路,所要時間,運送会社,輸送距離,成分1,成分1_含有量,成分2,成分2_含有量,成分3,成分3_含有量,成分4,成分4_含有量,成分5,成分5_含有量,成分6,成分6_含有量,成分7,成分7_含有量,成分8,成分8_含有量,成分9,成分9_含有量,成分10,成分10_含有量,材料1,材料1_含有量,材料2,材料2_含有量,材料3,材料3_含有量,材料4,材料4_含有量,材料5,材料5_含有量,材料6,材料6_含有量,材料7,材料7_含有量,材料8,材料8_含有量,材料9,材料9_含有量,材料10,材料10_含有量,元価格,改定後の価格,改定時期,改定理由,［成分1］市況単価,［成分2］市況単価,［成分3］市況単価,［成分4］市況単価,［成分1］市況情報,［成分2］市況情報,［成分3］市況情報,［成分4］市況情報,燃動力1,［燃動力1］市況情報,［燃動力1］単価,燃動力2,［燃動力2］市況情報,［燃動力2］単価,燃動力3,［燃動力3］市況情報,［燃動力3］単価,燃動力4,［燃動力4］市況情報,［燃動力4］単価,労務費（時間当り）,［労務費］市況情報,［運賃］円/m
1202010360,ガラスクレネット GW33126,12,02,01,036,岡山土地倉庫→土浦事業所,約2日,,,アルミナ硼珪酸ガラス,約80%,塩ビアクリル系樹脂,約20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.6,93,2021/10/01,,126.0,168.0,,,,,,,LNG,,178.5,電力,,136.5,,,,,,,945,,0.3937
1202010360,ガラスクレネット GW33126,12,02,01,036,岡山土地倉庫→土浦事業所,約2日,,,アルミナ硼珪酸ガラス,約80%,塩ビアクリル系樹脂,約20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7,88.6,2021/06/01,,126.0,168.0,,,,,,,LNG,,178.5,電力,,136.5,,,,,,,945,,0.3937
1202010360,ガラスクレネット GW33126,12,02,01,036,岡山土地倉庫→土浦事業所,約2日,,,アルミナ硼珪酸ガラス,約80%,塩ビアクリル系樹脂,約20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7,2015/04/01,,105.6,140.8,,,,,,,LNG,,149.6,電力,,114.4,,,,,,,792,,0.3300
1202010360,ガラスクレネット GW33126,12,02,01,036,岡山土地倉庫→土浦事業所,約2日,,,アルミナ硼珪酸ガラス,約80%,塩ビアクリル系樹脂,約20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8,2024/09/01,2024年問題による物流費上昇・製造原価上昇・労務費上昇,150.0,200.0,,,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
1202010360,ガラスクレネット GW33126,12,02,01,036,岡山土地倉庫→土浦事業所,約2日,,,アルミナ硼珪酸ガラス,約80%,塩ビアクリル系樹脂,約20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.7,2024/09/01,2024年問題による物流費上昇・製造原価上昇・労務費上昇,150.0,200.0,,,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,565,2024/04/11,酸化チタン+30円/kg・カーボンブラック+40円/kg・DINP+25円/kg,562.5,312.5,250.0,,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,531,2023/08/01,,540.0,300.0,240.0,,,,,,LNG,,204.0,電力,,156.0,,,,,,,1080,,0.4500
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,536,2023/02/21,,540.0,300.0,240.0,,,,,,LNG,,204.0,電力,,156.0,,,,,,,1080,,0.4500
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,497,2022/09/01,,517.5,287.5,230.0,,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
0804010030,LBT-733 ホワイト,08,04,01,0035,静岡工場→土浦工場,約6時間,一般貨物,,二酸化チタン,77%,可塑剤DINP,20%,添加剤,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,455,2022/06/09,,517.5,287.5,230.0,,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
